experiment,model,memorize_count,background_count,string_length,stage,forget_epochs,exact_recall,exact_matches,num_examples,avg_target_log_prob,avg_target_log_loss
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,2,0.0,0,256,-4.3495520226533415,4.3495520226533415
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,4,0.0,0,256,-5.562141585393128,5.562141585393128
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,8,0.0,0,256,-5.62586731312175,5.62586731312175
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,16,0.0,0,256,-7.059136588594438,7.059136588594438
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,memorize,0,1.0,256,256,-4.2293280512811137e-05,4.2293280512811137e-05
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,1,0.0546875,14,256,-1.609937538633355,1.609937538633355
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,2,0.0546875,14,256,-1.793026071832932,1.793026071832932
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,4,0.07421875,19,256,-1.6698381226895425,1.6698381226895425
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,8,0.01953125,5,256,-3.00118735213108,3.00118735213108
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,16,0.01171875,3,256,-3.509850094235365,3.509850094235365
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,memorize,0,0.998046875,511,512,-0.0005474387798512046,0.0005474387798512046
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,1,0.0,0,512,-2.3274742789724354,2.3274742789724354
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,2,0.0,0,512,-2.6447074366461303,2.6447074366461303
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,4,0.0,0,512,-3.6156560613019946,3.6156560613019946
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,8,0.0,0,512,-5.574667239846842,5.574667239846842
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,16,0.0,0,512,-8.234590352238625,8.234590352238625
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,memorize,0,1.0,256,256,-0.0002857423379069323,0.0002857423379069323
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,forget,1,0.00390625,1,256,-1.6076773114436707,1.6076773114436707
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,forget,2,0.0,0,256,-2.0845004939889944,2.0845004939889944
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,forget,4,0.0,0,256,-2.7221053682810954,2.7221053682810954
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,forget,8,0.0,0,256,-4.14942405195076,4.14942405195076
gpt2_medium_keys256_len12,gpt2-medium,256,2048,12,forget,16,0.0,0,256,-6.338942856886122,6.338942856886122
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,memorize,0,1.0,512,512,-6.208676631381129e-05,6.208676631381129e-05
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,forget,1,0.0,0,512,-1.996510130214656,1.996510130214656
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,forget,2,0.001953125,1,512,-2.6259256552094024,2.6259256552094024
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,forget,4,0.0,0,512,-4.421741785296441,4.421741785296441
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,forget,8,0.0,0,512,-6.644322031528883,6.644322031528883
gpt2_medium_keys512_len12_rerun_20260602,gpt2-medium,512,4096,12,forget,16,0.0,0,512,-7.8661346455286925,7.8661346455286925
gpt2_medium_retention_bg1024_lr2e5_20260602,gpt2-medium,512,1024,12,memorize,0,1.0,512,512,-6.208676631381129e-05,6.208676631381129e-05
gpt2_medium_retention_bg1024_lr2e5_20260602,gpt2-medium,512,1024,12,forget,1,0.125,64,512,-0.7089078884282541,0.7089078884282541
